対	タイ;ツイ;あいて;こたえる;そろい;つれあい;ならぶ;むかう	vis-a-vis; opposite; even; equal; versus; anti-; compare	general
想	ソウ;ソ;おもう	concept; think; idea; thought	general
相	ソウ;ショウ;あい-	inter-; mutual; together; each other; minister of state; councillor; aspect; phase; physiognomy	general
送	ソウ;おくる	escort; send	general
息	ソク;いき	breath; respiration; son; interest (on money)	general
速	ソク;はやい;はや-;はやめる;すみやか	quick; fast	general
族	ゾク	tribe; family	general
他	タ;ほか	other; another; the others	general
打	ダ;ダアス;うつ;うち-;ぶつ	strike; hit; knock; pound; dozen	general
昔	セキ;シャク;むかし	once upon a time; antiquity; old times	general
全	ゼン;まったく;すべて	whole; entire; all; complete; fulfill	general
整	セイ;ととのえる;ととのう	organize; arranging; tune; tone; meter; key (music)	general
世	セイ;セ;ソウ;よ;さんじゅう	generation; world; society; public	general
植	ショク;うえる;うわる	plant	general
深	シン;ふかい;-ぶかい;ふかまる;ふかめる;み-	deep; heighten; intensify; strengthen	general
申	シン;もうす;もうし-;さる	have the honor to; sign of the monkey; 3-5PM; ninth sign of Chinese zodiac	general
真	シン;ま;ま-;まこと	true; reality; Buddhist sect	general
神	シン;ジン;かみ;かん-;こう-	gods; mind; soul	general
身	シン;み	somebody; person; one's station in life	general
進	シン;すすむ;すすめる	advance; proceed; progress; promote	general
所	ショ;ところ;-ところ;どころ;とこ	place	general
暑	ショ;あつい	sultry; hot; summer heat	general
助	ジョ;たすける;たすかる;すける;すけ	help; rescue; assist	general
勝	ショウ;かつ;-がち;まさる;すぐれる;かつ	victory; win; prevail; excel	general
商	ショウ;あきなう	make a deal; selling; dealing in; merchant	general
昭	ショウ	shining; bright	general
消	ショウ;きえる;けす	extinguish; blow out; turn off; neutralize; cancel	general
章	ショウ	badge; chapter; composition; poem; design	general
乗	ジョウ;ショウ;のる;-のり;のせる	ride; power; multiplication; record; counter for vehicles; board; mount; join	general
集	シュウ;あつまる;あつめる;つどう	gather; meet; congregate; swarm; flock	general
住	ジュウ;ヂュウ;チュウ;すむ;すまう;-ずまい	dwell; reside; live; inhabit	general
重	ジュウ;チョウ;え;おもい;おもり;おもなう;かさねる;かさなる;おも	heavy; heap up; pile up; nest of boxes; -fold	general
宿	シュク;やど;やどる;やどす	inn; lodging; relay station; dwell; lodge; be pregnant; home; dwelling	general
酒	シュ;さけ;さか-	sake; alcohol	general
受	ジュ;うける;-うけ;うかる	accept; undergo; answer (phone); take; get; catch; receive	general
州	シュウ;ス;す	state; province	general
拾	シュウ;ジュウ;ひろう	pick up; gather; find; go on foot; ten	general
終	シュウ;おわる;-おわる;おわる;おえる;つい;ついに	end; finish	general
習	シュウ;ジュ;ならう;ならい	learn	general
取	シュ;とる;とり;とり-;とり;-どり	take; fetch; take up	general
守	シュ;ス;まもる;まもり;もり;-もり;かみ	guard; protect; defend; obey	general
主	シュ;ス;シュウ;ぬし;おも;あるじ	lord; chief; master; main thing; principal	general
者	シャ;もの	someone; person	general
写	シャ;ジャ;うつす;うつる;うつ-;うつし	copy; be photographed; describe	general
式	シキ	style; ceremony; rite; function; method; system; form; expression	general
実	ジツ;シツ;み;みのる;まこと;まことに;みの;みちる	reality; truth	general
詩	シ;うた	poem; poetry	general
歯	シ;よわい;は;よわい;よわいする	tooth; cog	general
事	ジ;ズ;こと;つかう;つかえる	matter; thing; fact; business; reason; possibly	general
持	ジ;もつ;-もち;もてる	hold; have	general
次	ジ;シ;つぐ;つぎ	next; order; sequence	general
指	シ;ゆび;さす;-さし	finger; point to; indicate; put into; play (chess); measure (ruler)	general
死	シ;しぬ;しに-	death; die	general
始	シ;はじめる;-はじめる;はじまる	commence; begin	general
皿	ベイ;さら	dish; a helping; plate	general
仕	シ;ジ;つかえる	attend; doing; official; serve	general
使	シ;つかう;つかい;-つかい;-づかい	use	general
坂	ハン;さか	slope; incline; hill	general
祭	サイ;まつる;まつり;まつり	ritual; offer prayers; celebrate; deify; enshrine; worship	general
号	ゴウ;さけぶ;よびな	nickname; number; item; title; pseudonym; name; call	general
根	コン;ね;-ね	root; radical; head (pimple)	general
港	コウ;みなと	harbor	general
向	コウ;むく;むい;-むき;むける;-むけ;むかう;むかい;むこう;むこう-;むこ;むかい	yonder; facing; beyond; confront; defy; tend toward; approach	general
幸	コウ;さいわい;さち;しあわせ	happiness; blessing; fortune	general
湖	コ;みずうみ	lake	general
庫	コ;ク;くら	warehouse; storehouse	general
軽	ケイ;かるい;かろやか;かろんじる	lightly; trifling; unimportant	general
決	ケツ;きめる;-ぎめ;きまる;さく	decide; fix; agree upon; appoint	general
血	ケツ;ち	blood	general
研	ケン;とぐ	polish; study of; sharpen	general
県	ケン;かける	prefecture	general
銀	ギン;しろがね	silver	general
区	ク;オウ;コウ	ward; district	general
苦	ク;くるしい;-ぐるしい;くるしむ;くるしめる;にがい;にがる	suffering; trial; worry; hardship; feel bitter; scowl	general
具	グ;そなえる;つぶさに	tool; utensil; means; possess; ingredients; counter for armor, suits, sets of furniture	general
君	クン;きみ;-ぎみ	old boy; name-suffix	general
係	ケイ;かかる;かかり;-がかり;かかわる	person in charge; connection; duty; concern oneself	general
橋	キョウ;はし	bridge	general
業	ギョウ;ゴウ;わざ	business; vocation; arts; performance	general
局	キョク;つぼね	bureau; board; office; affair; conclusion; court lady; lady-in-waiting; her apartment	general
曲	キョク;まがる;まげる;くま	bend; music; melody; composition; pleasure; injustice; fault; curve; crooked; perverse; lean	general
去	キョ;コ;さる;-さる	gone; past; quit; leave; elapse; eliminate; divorce	general
起	キ;おきる;おこる;おこす;おこす;たつ	rouse; wake up; get up	general
客	キャク;カク	guest; visitor; customer; client	general
宮	キュウ;グウ;ク;クウ;みや	Shinto shrine; constellations; palace; princess	general
急	キュウ;いそぐ;いそぎ	hurry; emergency; sudden; steep	general
球	キュウ;たま	ball; sphere	general
究	キュウ;ク;きわめる	research; study	general
級	キュウ	class; rank; grade	general
期	キ;ゴ	period; time; date; term	general
館	カン;やかた;たて	building; mansion; large building; palace	general
岸	ガン;きし	beach	general
寒	カン;さむい	cold	general
感	カン	emotion; feeling; sensation	general
漢	カン	Sino-; China	general
界	カイ	world	general
開	カイ;ひらく;ひらき;-びらき;ひらける;あく;あける	open; unfold; unseal	general
階	カイ;きざはし	storey; stair; counter for storeys of a building	general
運	ウン;はこぶ	carry; luck; destiny; fate; lot; transport; progress; advance	general
泳	エイ;およぐ	swim	general
駅	エキ	station	general
央	オウ	center; middle	general
横	オウ;よこ	sideways; side; horizontal; width; woof	general
屋	オク;や	roof; house; shop; dealer; seller	general
温	オン;あたたか;あたたかい;あたたまる;あたためる;ぬく	warm	general
化	カ;ケ;ばける;ばかす;ふける;けする	change; take the form of; influence; enchant; delude; -ization	general
荷	カ;に	baggage; shoulder-pole load; bear (a burden); shoulder (a gun); load; cargo; freight	general
悪	アク;オ;わるい;わる-;あし;にくい;-にくい;ああ;いずくに;いずくんぞ;にくむ	bad; vice; rascal; false; evil; wrong	general
安	アン;やすい;やすまる;やす;やすらか	relax; cheap; low; quiet; rested; contented; peaceful	general
暗	アン;くらい くら;くれる	darkness; disappear; shade; informal; grow dark; be blinded	general
委	イ;ゆだねる	committee; entrust to; leave to; devote; discard	general
意	イ	idea; mind; heart; taste; thought; desire; care; liking	general
医	イ;いやす;いする;くすし	doctor; medicine	general
育	イク;そだつ;そだち;そだてる;はぐくむ	bring up; grow up; raise; rear	general
員	イン	employee; member; number; the one in charge	general
飲	イン;オン;のむ;-のみ	drink; smoke; take	general
院	イン	Inst.; institution; temple; mansion; school	general
歴	レキ;レッキ	curriculum; continuation; passage of time	general
連	レン;つらなる;つらねる;つれる;-づれ	take along; lead; join; connect; party; gang; clique	general
